Rank,Title,Initial gross (unadjusted),Unadjusted,Adjusted,Year
1,Star Wars: The Force Awakens,936662225,936662225,1013038487,2015
2,Avengers: Endgame,858373000,858373000,892669593,2019
3,Spider-Man: No Way Home,804793477,814108407,814108407,2021
4,Avatar,749766139,785221649,721490000,2009
5,Top Gun: Maverick,718732821,718732821,718732821,2022
6,Black Panther,700426566,700426566,714671451,2018
7,Avengers: Infinity War,678815482,678815482,678572589,2018
8,Titanic,600788188,662083944,1270101626,1997
9,Jurassic World,652270625,652270625,719518552,2015
10,Avatar: The Way of Water,641726731,641726731,641726731,2022
11,The Avengers,623357910,623357910,720376844,2012
12,Star Wars: The Last Jedi,620181382,620181382,633360465,2017
13,Incredibles 2,608581744,608581744,621223504,2018
14,The Lion King,543638043,543638043,565223699,2019
15,The Dark Knight,533345358,534987076,698121220,2008
16,Rogue One: A Star Wars Story,532177324,533539991,566337792,2016
17,Star Wars: The Rise of Skywalker,515202542,515202542,515050160,2019
18,Beauty and the Beast,504014165,504481165,532199134,2017
19,Finding Dory,486295561,486295561,526201397,2016
20,Frozen II,477373578,477373578,478061148,2019
21,Star Wars: Episode I – The Phantom Menace,431088301,474544677,846224377,1999
22,Star Wars,221280994,460998007,1668979715,1977
23,Avengers: Age of Ultron,459005868,459005868,499902618,2015
24,Black Panther: Wakanda Forever,453564379,453564379,453564379,2022
25,The Dark Knight Rises,448139099,448149584,539541466,2012
26,Shrek 2,441226247,441226247,665746933,2004
27,E.T. the Extra-Terrestrial,359197037,439251124,1329174791,1982
28,Toy Story 4,434038008,434038008,451340719,2019
29,Captain Marvel,426829839,426829839,443884073,2019
30,The Hunger Games: Catching Fire,424668047,424668047,478943802,2013
31,Pirates of the Caribbean: Dead Man's Chest,423315812,423315812,605568108,2006
32,The Lion King,312855561,422783777,835301768,1994
33,Jurassic World: Fallen Kingdom,417719760,417719760,430497154,2018
34,Toy Story 3,415004880,415004880,499790178,2010
35,Wonder Woman,412563408,412845172,432354288,2017
36,Doctor Strange in the Multiverse of Madness,411331607,411331607,411331607,2022
37,Iron Man 3,409013999,409013994,457717941,2013
38,Captain America: Civil War,408084349,408084349,438096224,2016
39,The Hunger Games,408010692,408010692,476589121,2012
40,Jumanji: Welcome to the Jungle,404515480,404515480,413515903,2017
41,Spider-Man,403706375,403706375,661768431,2002
42,Jurassic Park,356763175,402523348,858893554,1993
43,Transformers: Revenge of the Fallen,402111870,402111870,505051433,2009
44,Frozen,400738009,400953009,459728743,2013
45,Spider-Man: Far From Home,390532085,390532085,406098611,2019
46,Guardians of the Galaxy Vol. 2,389813101,389813101,386375698,2017
47,Harry Potter and the Deathly Hallows – Part 2,381011219,381447587,386375698,2011
48,Finding Nemo,339714978,380843261,577065505,2003
49,Star Wars: Episode III – Revenge of the Sith,380270577,380270577,555871502,2005
50,The Lord of the Rings: The Return of the King,377027325,378251207,577563989,2003
51,Jurassic World Dominion,376009080,376009080,376009080,2022
52,Spider-Man 2,373585825,373585825,563687019,2004
53,The Passion of the Christ,370274604,370782930,559433976,2004
54,Minions: The Rise of Gru,369500210,369500210,369500210,2022
55,The Batman,369345583,369345583,369345583,2022
56,The Secret Life of Pets,368384330,368384330,405475506,2016
57,Despicable Me 2,368061265,368061265,439397717,2013
58,The Jungle Book,364001123,364001123,390829259,2016
59,Deadpool,363070709,363070709,396285410,2016
60,Inside Out,356461711,356921711,398811562,2015
61,Aladdin,355559216,355559216,369758940,2019
62,Furious 7,353007020,353007020,384393006,2015
63,Transformers: Dark of the Moon,352390543,352390543,414724633,2011
64,American Sniper,350126372,350126372,403659600,2014
65,Thor: Love and Thunder,343256830,343256830,343256830,2022
66,The Lord of the Rings: The Two Towers,339789881,342952511,540886998,2002
67,Zootopia,341268248,341268248,371109157,2016
68,The Hunger Games: Mockingjay – Part 1,337135885,337135885,381611053,2014
69,Spider-Man 3,336530303,336530303,458326991,2007
70,Minions,336045770,336045770,381492054,2015
71,Joker,335451311,335477657,335451622,2019
72,Aquaman,335061807,335104314,348133917,2018
73,Spider-Man: Homecoming,334201140,334201140,350608534,2017
74,Alice in Wonderland,334191110,334191110,394495740,2010
75,Guardians of the Galaxy,333176600,333718600,386375698,2014
76,Batman v Superman: Dawn of Justice,330360194,330360194,358501822,2016
77,Forrest Gump,329694499,330252182,736829627,1994
78,It,327481748,328874981,342085582,2017
79,Suicide Squad,325100054,325100054,357738167,2016
80,Deadpool 2,324591735,324591735,325203653,2018
81,Shrek the Third,322719944,322719944,439518590,2007
82,Transformers,319246193,319246193,434787677,2007
83,Iron Man,318604126,319034126,415951166,2008
84,Harry Potter and the Sorcerer's Stone,317575550,317871467,526061784,2001
85,Indiana Jones and the Kingdom of the Crystal Skull,317101119,317101119,413821365,2008
86,Jumanji: The Next Level,316831246,316831246,320362174,2019
87,The Lord of the Rings: The Fellowship of the Ring,313364114,316115420,513469441,2001
88,Thor: Ragnarok,315058289,315058289,321589644,2017
89,Iron Man 2,312128345,312128345,371691971,2010
90,Star Wars: Episode II – Attack of the Clones,302191252,310676740,500999845,2002
91,Pirates of the Caribbean: At World's End,309420425,309420425,421405443,2007
92,Return of the Jedi,252583617,309306177,881336578,1983
93,Independence Day,306169268,306169268,649049593,1996
94,Pirates of the Caribbean: The Curse of the Black Pearl,305413918,305413918,474580193,2003
95,Skyfall,304360277,304360277,354579540,2012
96,The Hobbit: An Unexpected Journey,303003568,303003568,354501769,2012
97,Harry Potter and the Half-Blood Prince,301959197,302334374,381195025,2009
98,The Twilight Saga: Eclipse,300531751,300531751,365229482,2010
99,The Twilight Saga: New Moon,296607170,296607170,367398637,2009
100,Harry Potter and the Deathly Hallows – Part 1,295983305,296131568,348589299,2010
